Description:           XBRL Index of EDGAR Dissemination Feed
Last Data Received:    June 30, 2022
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
 
 
 
CIK|Company Name|Form Type|Date Filed|Filename
--------------------------------------------------------------------------------
1000045|NICHOLAS FINANCIAL INC|10-K|2022-06-24|edgar/data/1000045/0000950170-22-012061.txt
1000045|NICHOLAS FINANCIAL INC|8-K/A|2022-05-17|edgar/data/1000045/0000950170-22-010155.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2022-05-10|edgar/data/1000045/0000950170-22-009069.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2022-05-24|edgar/data/1000045/0000950170-22-010534.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2022-05-25|edgar/data/1000045/0000950170-22-010671.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2022-06-23|edgar/data/1000045/0000950170-22-011991.txt
1000177|NORDIC AMERICAN TANKERS Ltd|20-F|2022-05-11|edgar/data/1000177/0001140361-22-018634.txt
1000209|MEDALLION FINANCIAL CORP|10-Q|2022-05-05|edgar/data/1000209/0000950170-22-007799.txt
1000209|MEDALLION FINANCIAL CORP|8-K|2022-04-29|edgar/data/1000209/0001193125-22-130889.txt
1000209|MEDALLION FINANCIAL CORP|8-K|2022-05-02|edgar/data/1000209/0001193125-22-136807.txt
1000209|MEDALLION FINANCIAL CORP|8-K|2022-05-02|edgar/data/1000209/0001193125-22-136840.txt
1000209|MEDALLION FINANCIAL CORP|8-K|2022-06-07|edgar/data/1000209/0001193125-22-169281.txt
1000209|MEDALLION FINANCIAL CORP|8-K|2022-06-15|edgar/data/1000209/0001193125-22-174791.txt
1000228|HENRY SCHEIN INC|10-Q|2022-05-03|edgar/data/1000228/0001000228-22-000033.txt
1000228|HENRY SCHEIN INC|8-K|2022-04-04|edgar/data/1000228/0001193125-22-094333.txt
1000228|HENRY SCHEIN INC|8-K|2022-05-03|edgar/data/1000228/0001000228-22-000030.txt
1000228|HENRY SCHEIN INC|8-K|2022-05-20|edgar/data/1000228/0001193125-22-156133.txt
1000229|CORE LABORATORIES N V|10-Q|2022-04-28|edgar/data/1000229/0000950170-22-006571.txt
1000229|CORE LABORATORIES N V|8-K|2022-04-27|edgar/data/1000229/0000950170-22-006392.txt
1000229|CORE LABORATORIES N V|8-K|2022-05-19|edgar/data/1000229/0000950170-22-010348.txt
1000229|CORE LABORATORIES N V|8-K|2022-06-08|edgar/data/1000229/0000950170-22-011336.txt
1000229|CORE LABORATORIES N V|8-K|2022-06-09|edgar/data/1000229/0001193125-22-170676.txt
1000230|OPTICAL CABLE CORP|10-Q|2022-06-13|edgar/data/1000230/0001437749-22-014836.txt
1000230|OPTICAL CABLE CORP|8-K|2022-06-14|edgar/data/1000230/0001437749-22-014966.txt
1000249|FIRST EAGLE VARIABLE FUNDS|485BPOS|2022-04-18|edgar/data/1000249/0000930413-22-000721.txt
1000275|ROYAL BANK OF CANADA|6-K|2022-05-26|edgar/data/1000275/0001193125-22-160229.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|10-Q|2022-05-16|edgar/data/1000298/0001558370-22-008938.txt
