Description:           XBRL Index of EDGAR Dissemination Feed
Last Data Received:    September 30, 2023
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
 
 
 
CIK|Company Name|Form Type|Date Filed|Filename
--------------------------------------------------------------------------------
1000045|NICHOLAS FINANCIAL INC|10-Q|2023-08-16|edgar/data/1000045/0000950170-23-043019.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2023-08-15|edgar/data/1000045/0000950170-23-042844.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2023-08-16|edgar/data/1000045/0000950170-23-042930.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2023-08-29|edgar/data/1000045/0000950170-23-044979.txt
1000177|NORDIC AMERICAN TANKERS Ltd|6-K|2023-09-29|edgar/data/1000177/0001140361-23-045991.txt
1000191|RIVERSOURCE VARIABLE ACCOUNT 10|497|2023-08-14|edgar/data/1000191/0001193125-23-211643.txt
1000191|RIVERSOURCE VARIABLE ACCOUNT 10|497|2023-08-14|edgar/data/1000191/0001193125-23-211665.txt
1000191|RIVERSOURCE VARIABLE ACCOUNT 10|497|2023-08-14|edgar/data/1000191/0001193125-23-211671.txt
1000191|RIVERSOURCE VARIABLE ACCOUNT 10|497|2023-08-14|edgar/data/1000191/0001193125-23-211699.txt
1000191|RIVERSOURCE VARIABLE ACCOUNT 10|497|2023-08-14|edgar/data/1000191/0001193125-23-211705.txt
1000209|MEDALLION FINANCIAL CORP|10-Q|2023-08-07|edgar/data/1000209/0000950170-23-039071.txt
1000209|MEDALLION FINANCIAL CORP|8-K|2023-07-11|edgar/data/1000209/0001193125-23-185339.txt
1000209|MEDALLION FINANCIAL CORP|8-K|2023-07-24|edgar/data/1000209/0001193125-23-192248.txt
1000228|HENRY SCHEIN INC|10-Q|2023-08-07|edgar/data/1000228/0001000228-23-000043.txt
1000228|HENRY SCHEIN INC|8-K|2023-07-13|edgar/data/1000228/0001193125-23-186248.txt
1000228|HENRY SCHEIN INC|8-K|2023-08-07|edgar/data/1000228/0001000228-23-000041.txt
